"BehaviorSpace results (NetLogo 5.0.5)"
"StationsUnidirectionellesMetroBakM1_3.nlogo"
"experiment"
"05/02/2014 13:38:50:784 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-6","6"
"[run number]","speed","InjectionFrequency","waitingTimeAtStation","NumberMetros","[step]","retardTotal","conflicts"
"2","17","100","45","8","8000","6346","13"
"3","17","150","45","8","8000","5319","10"
"9","17","450","45","8","8000","4202","1"
"11","17","550","45","8","8000","4477","2"
"10","17","500","45","8","8000","4858","5"
"7","17","350","45","8","8000","3534","1"
"12","17","600","45","8","8000","3191","0"
"13","17","650","45","8","8000","4707","4"
"16","17","800","45","8","8000","4565","6"
"5","17","250","45","8","8000","4669","2"
"6","17","300","45","8","8000","4727","5"
"4","17","200","45","8","8000","4869","4"
"8","17","400","45","8","8000","4652","0"
"1","17","50","45","8","8000","7181","12"
"17","17","850","45","8","8000","3926","2"
"15","17","750","45","8","8000","5544","12"
"14","17","700","45","8","8000","5551","13"
"18","17","900","45","8","8000","3559","5"
