"BehaviorSpace results (NetLogo 5.0.5)"
"StationsUnidimMetroBakM1_3.nlogo"
"experiment complet"
"05/01/2014 21:25:25:108 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-6","6"
"[run number]","speed","waitingTimeAtStation","NumberMetros","InjectionFrequency","[step]","retardTotal","conflicts"
"4","5","30","4","60","8000","2413","0"
"5","5","30","4","120","8000","2515","0"
"8","5","30","6","120","8000","6283","4"
"6","5","30","4","180","8000","2171","0"
"10","5","30","8","60","8000","12796","6"
"11","5","30","8","120","8000","12742","10"
"14","5","30","10","120","8000","23337","24"
"13","5","30","10","60","8000","21333","19"
"16","5","30","12","60","8000","32812","32"
"15","5","30","10","180","8000","19251","15"
"9","5","30","6","180","8000","5810","1"
"1","5","30","2","60","8000","502","0"
"7","5","30","6","60","8000","6617","3"
"17","5","30","12","120","8000","32582","40"
"3","5","30","2","180","8000","501","0"
"22","5","30","16","60","8000","59325","74"
"24","5","30","16","180","8000","53542","75"
"19","5","30","14","60","8000","46998","61"
"25","5","35","2","60","8000","474","0"
"18","5","30","12","180","8000","30535","36"
"27","5","35","2","180","8000","478","0"
"29","5","35","4","120","8000","2772","0"
"21","5","30","14","180","8000","40377","55"
"26","5","35","2","120","8000","479","0"
"28","5","35","4","60","8000","3025","0"
"33","5","35","6","180","8000","5353","2"
"20","5","30","14","120","8000","41948","55"
"30","5","35","4","180","8000","2565","1"
"34","5","35","8","60","8000","11898","7"
"2","5","30","2","120","8000","502","0"
"36","5","35","8","180","8000","10976","2"
"37","5","35","10","60","8000","22655","23"
"39","5","35","10","180","8000","18789","17"
"40","5","35","12","60","8000","32500","36"
"23","5","30","16","120","8000","57272","81"
"41","5","35","12","120","8000","30267","26"
"44","5","35","14","120","8000","41328","52"
"32","5","35","6","120","8000","6168","3"
"42","5","35","12","180","8000","28568","34"
"12","5","30","8","180","8000","12468","6"
"31","5","35","6","60","8000","6201","3"
"43","5","35","14","60","8000","44281","52"
"38","5","35","10","120","8000","18543","18"
"45","5","35","14","180","8000","39211","53"
"35","5","35","8","120","8000","11154","7"
"46","5","35","16","60","8000","57583","84"
"54","5","40","4","180","8000","2377","0"
"53","5","40","4","120","8000","2212","0"
"51","5","40","2","180","8000","454","0"
"56","5","40","6","120","8000","5813","2"
"55","5","40","6","60","8000","5909","3"
"50","5","40","2","120","8000","450","0"
"47","5","35","16","120","8000","53937","73"
"58","5","40","8","60","8000","12968","10"
"61","5","40","10","60","8000","21465","21"
"62","5","40","10","120","8000","20046","20"
"63","5","40","10","180","8000","19327","25"
"48","5","35","16","180","8000","51343","80"
"64","5","40","12","60","8000","33661","42"
"59","5","40","8","120","8000","11477","10"
"49","5","40","2","60","8000","452","0"
"52","5","40","4","60","8000","2330","0"
"57","5","40","6","180","8000","6088","4"
"60","5","40","8","180","8000","9283","5"
"69","5","40","14","180","8000","37910","49"
"68","5","40","14","120","8000","40436","57"
"74","5","45","2","120","8000","429","0"
"66","5","40","12","180","8000","29327","36"
"67","5","40","14","60","8000","43668","56"
"71","5","40","16","120","8000","53272","70"
"70","5","40","16","60","8000","57581","74"
"65","5","40","12","120","8000","31124","38"
"75","5","45","2","180","8000","426","0"
"73","5","45","2","60","8000","427","0"
"72","5","40","16","180","8000","49964","75"
"76","5","45","4","60","8000","2259","0"
"80","5","45","6","120","8000","5967","5"
"81","5","45","6","180","8000","5362","2"
"79","5","45","6","60","8000","6434","4"
"82","5","45","8","60","8000","11826","11"
"77","5","45","4","120","8000","2402","0"
"86","5","45","10","120","8000","20189","21"
"87","5","45","10","180","8000","17524","14"
"85","5","45","10","60","8000","20785","20"
"90","5","45","12","180","8000","27842","38"
"91","5","45","14","60","8000","42382","50"
"89","5","45","12","120","8000","29815","40"
"92","5","45","14","120","8000","39816","55"
"93","5","45","14","180","8000","37536","42"
"95","5","45","16","120","8000","53163","65"
"94","5","45","16","60","8000","55366","69"
"97","5","50","2","60","8000","401","0"
"96","5","45","16","180","8000","49267","70"
"99","5","50","2","180","8000","399","0"
"98","5","50","2","120","8000","402","0"
"100","5","50","4","60","8000","2314","0"
"101","5","50","4","120","8000","2407","0"
"102","5","50","4","180","8000","2282","0"
"103","5","50","6","60","8000","6395","4"
"104","5","50","6","120","8000","5702","5"
"105","5","50","6","180","8000","5356","3"
"106","5","50","8","60","8000","11362","7"
"107","5","50","8","120","8000","11179","11"
"108","5","50","8","180","8000","10124","8"
"109","5","50","10","60","8000","20768","19"
"110","5","50","10","120","8000","17994","17"
"112","5","50","12","60","8000","32532","38"
"111","5","50","10","180","8000","16432","12"
"113","5","50","12","120","8000","28546","30"
"114","5","50","12","180","8000","26397","37"
"116","5","50","14","120","8000","38844","51"
"115","5","50","14","60","8000","41594","46"
"117","5","50","14","180","8000","37289","54"
"121","5","55","2","60","8000","379","0"
"119","5","50","16","120","8000","51916","72"
"118","5","50","16","60","8000","55888","67"
"120","5","50","16","180","8000","47893","70"
"122","5","55","2","120","8000","376","0"
"123","5","55","2","180","8000","376","0"
"124","5","55","4","60","8000","2350","0"
"126","5","55","4","180","8000","2202","0"
"125","5","55","4","120","8000","2162","0"
"128","5","55","6","120","8000","6625","5"
"130","5","55","8","60","8000","12213","11"
"127","5","55","6","60","8000","5995","5"
"129","5","55","6","180","8000","5274","4"
"134","5","55","10","120","8000","17576","19"
"133","5","55","10","60","8000","19324","20"
"78","5","45","4","180","8000","2196","0"
"131","5","55","8","120","8000","10340","9"
"84","5","45","8","180","8000","10430","8"
"135","5","55","10","180","8000","16979","13"
"83","5","45","8","120","8000","11798","9"
"88","5","45","12","60","8000","31688","39"
"137","5","55","12","120","8000","25998","27"
"138","5","55","12","180","8000","26822","30"
"132","5","55","8","180","8000","8973","8"
"144","5","55","16","180","8000","49434","70"
