BehaviorSpace results (NetLogo 5.0.5)
StationsUnidimMetroBakM1_3.nlogo
experiment limité
05/01/2014 21:14:33:891 +0200
min-pxcor,max-pxcor,min-pycor,max-pycor
-45,45,-6,6
[run number],speed,waitingTimeAtStation,NumberMetros,InjectionFrequency,[step],retardTotal,conflicts
6,17,45,4,180,8000,919,0
3,17,45,2,180,8000,23,0
9,17,45,6,180,8000,2657,3
10,17,45,8,60,8000,7050,18
4,17,45,4,60,8000,1345,6
5,17,45,4,120,8000,1235,6
11,17,45,8,120,8000,7623,26
8,17,45,6,120,8000,2753,7
7,17,45,6,60,8000,3217,4
12,17,45,8,180,8000,4740,6
15,17,45,10,180,8000,11231,28
13,17,45,10,60,8000,13104,39
1,17,45,2,60,8000,23,0
17,17,45,12,120,8000,18592,64
16,17,45,12,60,8000,20610,70
14,17,45,10,120,8000,10969,34
18,17,45,12,180,8000,18977,68
20,17,45,14,120,8000,32373,121
21,17,45,14,180,8000,28968,102
24,17,45,16,180,8000,41190,155
19,17,45,14,60,8000,32348,114
23,17,45,16,120,8000,43591,152
22,17,45,16,60,8000,46738,158
2,17,45,2,120,8000,23,0
